Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,% change during the day,VWAP,Total Traded Quantity,Turnover,No. of,Deliverable,% Dly Qt to
YESBANK,EQ,09-Mar-21,16.25,16.25,16.4,15.95,16.1,16.05,-1.20%,16.12,"7,72,45,066","1,24,48,30,615.05","63,156","2,84,02,309",36.77
YESBANK,EQ,10-Mar-21,16.05,16.1,16.25,16,16,16.05,0.00%,16.07,"4,48,44,215","72,05,68,387.75","47,277","1,73,44,392",38.68
YESBANK,EQ,12-Mar-21,16.05,16,16.25,15.85,15.85,15.9,-0.90%,16.02,"8,19,41,288","1,31,23,94,907.85","78,523","3,13,07,189",38.21
YESBANK,EQ,15-Mar-21,15.9,15.7,15.75,15.45,15.6,15.65,-1.60%,15.59,"8,02,53,110","1,25,10,30,076.70","75,603","3,57,66,360",44.57
YESBANK,EQ,16-Mar-21,15.65,15.65,15.65,15.4,15.5,15.45,-1.30%,15.51,"5,33,93,224","82,80,69,621.50","66,819","2,84,79,555",53.34
YESBANK,EQ,17-Mar-21,15.45,15.45,15.55,15.05,15.1,15.1,-2.30%,15.18,"8,11,86,413","1,23,22,80,129.45","87,596","3,54,50,990",43.67
YESBANK,EQ,18-Mar-21,15.1,15.2,15.3,14.8,14.85,14.9,-1.30%,15,"9,29,68,773","1,39,47,98,420.65","94,516","3,76,34,176",40.48
YESBANK,EQ,19-Mar-21,14.9,14.85,15.05,14.3,14.9,14.95,0.30%,14.65,"13,34,10,477","1,95,44,73,696.95","95,549","4,18,90,769",31.4
YESBANK,EQ,22-Mar-21,14.95,14.95,15.1,14.75,14.9,14.85,-0.70%,14.91,"6,21,59,949","92,67,93,482.10","68,848","2,47,22,543",39.77
YESBANK,EQ,23-Mar-21,14.85,14.9,15.05,14.75,14.85,14.9,0.30%,14.9,"6,10,85,946","91,04,17,732.50","69,787","2,54,98,199",41.74
YESBANK,EQ,24-Mar-21,14.9,14.85,15,14.6,14.65,14.65,-1.70%,14.77,"5,99,03,730","88,49,38,226.20","73,259","2,70,39,437",45.14
YESBANK,EQ,25-Mar-21,14.65,14.65,14.7,14.1,14.2,14.2,-3.10%,14.26,"11,06,09,689","1,57,72,17,270.55","1,15,076","5,10,41,686",46.15
YESBANK,EQ,26-Mar-21,14.2,14.25,14.5,14,14.1,14.05,-1.10%,14.25,"10,67,66,399","1,52,11,89,066.30","93,484","4,27,89,035",40.08
YESBANK,EQ,30-Mar-21,14.05,14.15,16.85,14,16.4,16.3,16.00%,15.87,"33,63,33,365","5,33,66,36,094.85","1,56,167","16,40,45,850",48.77
YESBANK,EQ,31-Mar-21,16.3,16.15,16.25,15.4,15.5,15.6,-4.30%,15.82,"20,83,81,534","3,29,57,59,241.05","1,24,583","5,71,03,453",27.4
